keys,en,br,es,pr
SECRET2-12,"I wish I had a reward for you. The best I can offer you are my thanks.",Você lutou bravamente. De fato você é o robô mais poderoso deste mundo.,Luchaste este duelo de manera impresionante. Realmente eres el robot más fuerte en este mundo.,Você lutou bravamente. De fato você é o robô mais poderoso deste mundo.
SECRET2-13,"We shall meet again, someday... Farewell!",Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos.,Desearía tener algo para recompensarte. Lo mejor que puedo ofrecerte son mis agradecimientos.,Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos.
,,,,
ACHIEV_ABV,Achiev,Conqst,Logros,Conqst
ACHIEV_SCREEN_TITLE,Achievements,Conquistas,Logros,Aqui não é RA carai
ACHIEVEMENTSUNLOCKED,Achievements Earned,Conquistas Desbloqueadas,Logros Desbloqueados,Conquistas Desbloqueadas
,,,,
DEBUGACHIEVTITLE,Locked Achievement...,Conquista Bloqueada...,Logro Bloqueado...,Conquista Bloqueada...
DEBUGACHIEVDISC,Used DebugMode.,Usou Modo Debug.,Usaste Modo Debug. ,Usou Modo Debug.
,,,,
BEATINTRO_TITLE,Good To See You Again,,,
BEATINTRO_DISC,Defeated the Intro Stage Boss.,Derrotou o Boss da Fase Inicial.,Derrotaste al Jefe del Nivel Introductorio.,Derrotou o Boss da Fase Inicial.
ANTONIONBUSTERONLY_TITLE,Don't Attach Labels to Me,,,
ANTONIONBUSTERONLY_DISC,Defeated Gravity Antonion without using special weapons.,Derrotou Gravity Antonion sem usar armas especiais.,Derrotaste a Gravity Antonion sin utilizar armas especiales.,Derrotou Gravity Antonion sem usar armas especiais.
ANTONIONNAKED_TITLE,Not After Praise,,,
ANTONIONNAKED_DISC,Defeated Gravity Antonion without equipping any upgrades.,Derrotou Gravity Antonion sem equipar nenhuma melhoria.,Derrotaste a Gravity Antonion sin equipar ninguna mejora.,Derrotou Gravity Antonion sem equipar nenhuma melhoria.
ANTONIONNODAMAGE_TITLE,An Incredible Scientist,,,
ANTONIONNODAMAGE_DISC,Defeated Gravity Antonion without taking damage.,Derrotou Gravity Antonion sem tomar dano.,Derrotaste a Gravity Antonion sin recibir daño.,Derrotou Gravity Antonion sem tomar dano.
ANTONIONNOROTATION_TITLE,Portal,,,
ANTONIONNOROTATION_DISC,Reached the end of Primrose without rotating the Stage or dying.,Chegou ao final do Laboratório Primula sem girar a fase nem morrer.,Llegaste al final del nivel Primavera sin voltear el escenario or morir.,Chegou ao final do Laboratório Primula sem girar a fase nem morrer.
COLLECTALLHEARTS_TITLE,Strider,,,
COLLECTALLHEARTS_DISC,Collected all Heart Tanks.,Coletou todos os Corações.,Recolectaste todos los corazones.,Coletou todos os Corações.
COLLECTALLSUBTANKS_TITLE,Virtue's Last Reward,,,
COLLECTALLSUBTANKS_DISC,Collected All Sub Tanks.,Coletou todos os Sub Tanks.,Recolectaste todos los Sub Tanques.,Coletou todos os Sub Tanks.
COLLECTFULLHERMES_TITLE,Soul Eraser,,,
COLLECTFULLHERMES_DISC,Collected All Hermes Parts.,Coletou todas as partes da Hermes,Recolectaste todas las partes de la Armadura Hermes.,Coletou todas as partes da Hermes
COLLECTFULLICARUS_TITLE,Command Mission,,,
COLLECTFULLICARUS_DISC,Collected All Icarus Parts.,Coletou todas as partes da Icarus.,Recolectaste todas las partes de la Armadura Icarus.,Coletou todas as partes da Icarus.
COPYBUSTERONLY_TITLE,Your World Has Decayed,,,
COPYBUSTERONLY_DISC,Defeated the Impostor without using special weapons.,Derrotou o Impostor sem usar armas especiais.,Derrotaste al Impostor sin utilizar armas especiales.,Derrotou o Impostor sem usar armas especiais.
COPYDEFEATED_TITLE,Time for our Final Showdown,,,
COPYDEFEATED_DISC,Defeated the Impostor.,Derrotou o Impostor.,Derrotaste al Impostor.,Derrotou o Impostor.
COPYNAKED_TITLE,Put a Stop to What?,,,
COPYNAKED_DISC,Defeated the Imposter without equipping any upgrades.,Derrotou o Impostor sem equipar nenhuma melhoria.,Derrotaste al Impostor sin equipar ninguna mejora.,Derrotou o Impostor sem equipar nenhuma melhoria.
COPYNODAMAGE_TITLE,I Am Indeed Sigma,,,
COPYNODAMAGE_DISC,Defeated the Imposter without taking damage.,Derrotou o Impostor sem tomar dano.,Derrotaste al Impostor sin recibir daño.,Derrotou o Impostor sem tomar dano.
DEFEATEDALL_TITLE,The Orbital Elevator,,,
DEFEATEDALL_DISC,Defeated all eight Maverick Bosses.,Derrotou os oito Mavericks.,Derrotaste a los 8 Jefes.,Derrotou os oito Mavericks.
DEFEATEDANY_TITLE,New Generation Reploids,,,
DEFEATEDANY_DISC,Defeated any of the Maverick Bosses.,Derrotou qualquer um dos Bosses.,Derrotaste a cualquiera de los Jefes.,Derrotou qualquer um dos Bosses.
GATEWAYFIESTA_TITLE,Desperados,,,
GATEWAYFIESTA_DISC,Survived through the hardest challenge in Gateway.,Sobreviveu ao desafio mais difícil do Satélite de Acesso.,Sobreviviste al desafío más difícil en el Satélite de Acceso.,Sobreviveu ao desafio mais difícil do Satélite de Acesso.
GIGACRUSHKILL_TITLE,Cataclysm,,,
GIGACRUSHKILL_DISC,Finished a Boss with Gigacrush.,Finalizou um Boss usando o Gigacrush.,Derrotaste a un Jefe usando el Gigacrush.,Finalizou um Boss usando o Gigacrush.
LUMINENAKED_TITLE,I Supose You're Satisfied,,,
LUMINENAKED_DISC,Defeated the Final Boss without equipping any upgrades.,Derrotou o Boss Final sem equipar nenhuma melhoria.,Derrotaste al Jefe Final sin equipar ninguna mejora.,Derrotou o Boss Final sem equipar nenhuma melhoria.
LUMINENODAMAGE_TITLE,Of Course I'm Ok,,,
LUMINENODAMAGE_DISC,Defeated the Final Boss without taking damage.,Derrotou o Boss Final sem tomar dano.,Derrotaste al Jefe Final sin recibir daño.,Derrotou o Boss Final sem tomar dano.
MANOWARDOOREXPLODED_TITLE,Gotta Go Fast,,,
MANOWARDOOREXPLODED_DISC,Broke your way through Dynasty.,Destruiu a segunda porta em Usina Dinastia.,Te abriste camino a través de Dinastía.,Destruiu a segunda porta em Usina Dinastia.
MANOWARBUSTERONLY_TITLE,I'm In Complete Control,,,
MANOWARBUSTERONLY_DISC,Defeated Gigabolt Manowar without using special weapons.,Derrotou Gigabolt Manowar sem usar armas especiais.,Derrotaste a Gigabolt Manowar sin usar armas especiales.,Derrotou Gigabolt Manowar sem usar armas especiais.
MANOWARNAKED_TITLE,"Who Are You, Anyway?",,,
MANOWARNAKED_DISC,Defeated Gigabolt Manowar without equipping any upgrades.,Derrotou Gigabolt Manowar sem equipar nenhuma melhoria.,Derrotaste a Gigabolt Manowar sin equipar ninguna mejora.,Derrotou Gigabolt Manowar sem equipar nenhuma melhoria.
MANOWARNODAMAGE_TITLE,Not Doing Anything Wrong,,,
MANOWARNODAMAGE_DISC,Defeated Gigabolt Manowar without taking damage.,Derrotou Gigabolt Manowar sem tomar dano.,Derrotaste a Gigabolt Manowar sin recibir daño.,Derrotou Gigabolt Manowar sem tomar dano.
MANTISBUSTERONLY_TITLE,Let My Blade Show You,,,
MANTISBUSTERONLY_DISC,Defeated Dark Mantis without using special weapons.,Derrotou Dark Mantis sem usar armas especiais.,Derrotaste a Dark Mantis sin usar armas especiales.,Derrotou Dark Mantis sem usar armas especiais.
MANTISLIT_TITLE,Shining In The Darkness,,,
MANTISLIT_DISC,Put an end to the darkness in Pitch Black.,Pôs um fim a escuridão do Arsenal Soturno.,Pusiste fin a la oscuridad en Oscuridad Total.,Pôs um fim a escuridão do Arsenal Soturno.
MANTISNAKED_TITLE,"Can't Go Maverick, Kid",,,
MANTISNAKED_DISC,Defeated Dark Mantis without equipping any upgrades.,Derrotou Dark Mantis sem equipar nenhuma melhoria.,Derrotaste a Dark Mantis sin equipar ninguna mejora.,Derrotou Dark Mantis sem equipar nenhuma melhoria.
MANTISNODAMAGE_TITLE,Your Precious 'Justice',,,
MANTISNODAMAGE_DISC,Defeated Dark Mantis without taking damage.,Derrotou Dark Mantis sem tomar dano.,Derrotaste a Dark Mantis sin recibir daño.,Derrotou Dark Mantis sem tomar dano.
PANDABUSTERONLY_TITLE,Sole Purpose To Destroy,,,
PANDABUSTERONLY_DISC,Defeated Bamboo Pandamonium without using special weapons.,Derrotou Bamboo Pandamonium sem usar armas especiais.,Derrotaste a Bamboo Pandamonium sin usar armas especiales.,Derrotou Bamboo Pandamonium sem usar armas especiais.
PANDANAKED_TITLE,We Are Forced To Fight,,,
PANDANAKED_DISC,Defeated Bamboo Pandamonium without equipping any upgrades.,Derrotou Bamboo Pandamonium sem equipar nenhuma melhoria.,Derrotaste a Bamboo Pandamonium sin equipar ninguna mejora.,Derrotou Bamboo Pandamonium sem equipar nenhuma melhoria.
PANDANODAMAGE_TITLE,Never Thought Yourself?,,,
PANDANODAMAGE_DISC,Defeated Bamboo Pandamonium without taking damage.,Derrotou Bamboo Pandamonium sem tomar dano.,Derrotaste a Bamboo Pandamonium sin recibir daño.,Derrotou Bamboo Pandamonium sem tomar dano.
PANDARIDEREACHED_TITLE,Probotector,,,
PANDARIDEREACHED_DISC,Reached the end of Booster Forest with the Cyclops.,Chegou ao final da Floresta Ergânica com a Cyclops.,Llegaste al final del Bosque Amplificador con el Cíclope.,Chegou ao final da Floresta Ergânica com a Cyclops.
PELEDOSGAMES_TITLE,Pelé of the Games,Pelé dos Games,Pelé de los Juegos,Pelé dos Games
PELEDOSGAMES_DISC,Juggled the Armor well after beating the Boss.,Cabeceou a Armadura bem depois de derrotar o Boss.,Malabareaste la armadura por un tiempo despues de vencer al jefe.,Cabeceou a Armadura bem depois de derrotar o Boss.
PERFECTKILL_TITLE,Mark of the Wolves,,,
PERFECTKILL_DISC,"Defeated any Boss without using special weapons, without taking damage and without upgrades.","Derrotou qualquer Boss sem usar armas especiais, sem melhorias e sem tomar dano.","Derrotaste a cualquier jefe sin usar armas especiales, sin recibir daño y sin mejoras.","Derrotou qualquer Boss sem usar armas especiais, sem melhorias e sem tomar dano."
ROOSTERBUSTERONLY_TITLE,The Price I Have To Pay,,,
ROOSTERBUSTERONLY_DISC,Defeated Burn Rooster without using special weapons.,Derrotou Burn Rooster sem usar armas especiais.,Derrotaste a Burn Rooster sin usar armas especiales.,Derrotou Burn Rooster sem usar armas especiais.
ROOSTERFROZEN_TITLE,Hades,,,
ROOSTERFROZEN_DISC,Stopped the Lava Wall at Inferno.,Parou a lava em Incinerador Inferno,Detuviste la Pared de Lava en el Incinerador Inferno.,Parou a lava em Incinerador Inferno
ROOSTERNAKED_TITLE,Labeled Maverick,,,
ROOSTERNAKED_DISC,Defeated Burn Rooster without equipping any upgrades.,Derrotou Burn Rooster sem equipar nenhuma melhoria.,Derrotaste a Burn Rooster sin equipar mejoras.,Derrotou Burn Rooster sem equipar nenhuma melhoria.
ROOSTERNODAMAGE_TITLE,This Is No Ordinary Riot,,,
ROOSTERNODAMAGE_DISC,Defeated Burn Rooster without taking damage.,Derrotou Burn Rooster sem tomar dano.,Derrotaste a Burn Rooster sin recibir daño.,Derrotou Burn Rooster sem tomar dano.
SECRET2DEFEATED_TITLE,Cycle of the Six Existences,Ciclo das Seis Existências,Ciclo de las Seis Existencias,Ciclo das Seis Existências
SECRET2DEFEATED_DISC,Defeated Secret Boss #2.,Derrotou o Boss Secreto #2.,Derrotaste al Jefe Secreto #2,Derrotou o Boss Secreto #2.
SERAPHDEFEATED_TITLE,Tools of the Old World,,,
SERAPHDEFEATED_DISC,Beat the game.,Finalizou o jogo.,Terminaste el juego.,Finalizou o jogo.
,,,,
SERAPHNAKED_TITLE,Do You Have What it Takes?,,,
SERAPHNAKED_DISC,Defeated the Final Boss Second Phase without equipping any upgrades.,Derrotou a Segunda Fase do Boss Final sem equipar nenhuma melhoria.,Derrotaste la Segunda Fase del Jefe Final sin equipar ninguna mejora.,Derrotou a Segunda Fase do Boss Final sem equipar nenhuma melhoria.
SERAPHNODAMAGE_TITLE,Accursed Cycle of Aggression,,,
SERAPHNODAMAGE_DISC,Defeated the Final Boss Second Phase without taking damage.,Derrotou a Segunda Fase do Boss Final sem tomar dano.,Derrotaste la Segunda Fase del Jefe Final sin recibir daño.,Derrotou a Segunda Fase do Boss Final sem tomar dano.
SIGMANAKED_TITLE,Ruler of the New World,,,
SIGMANAKED_DISC,Defeated Sigma without equipping any upgrades.,Derrotou Sigma sem equipar nenhuma melhoria.,Derrotaste a Sigma sin equipar mejoras.,Derrotou Sigma sem equipar nenhuma melhoria.
SIGMANODAMAGE_TITLE,Our Meeting was Fated,,,
SIGMANODAMAGE_DISC,Defeated Sigma without taking damage.,Derrotou Sigma sem tomar dano.,Derrotaste a Sigma sin recibir daño.,Derrotou Sigma sem tomar dano.
SUNFLOWERBUSTERONLY_TITLE,No One Can Control Us,,,
SUNFLOWERBUSTERONLY_DISC,Defeated Optic Sunflower without using special weapons.,Derrotou Optic Sunflower sem usar armas especiais.,Derrotaste a Optic Sunflower sin usar armas especiales.,Derrotou Optic Sunflower sem usar armas especiais.
SUNFLOWERGOTSSSRANK_TITLE,Gravity Circuit,,,
SUNFLOWERGOTSSSRANK_DISC,Got S Rank in all challenges in a single run.,Conseguiu Rank S em todos os desafios de uma vez só.,Obtuvo el rango S en todos los desafíos en una sola partida.,Conseguiu Rank S em todos os desafios de uma vez só.
SUNFLOWERNAKED_TITLE,We're No Monsters,,,
SUNFLOWERNAKED_DISC,Defeated Optic Sunflower without equipping any upgrades.,Derrotou Optic Sunflower sem equipar nenhuma melhoria.,Derrotaste a Optic Sunflower sin equipar mejoras.,Derrotou Optic Sunflower sem equipar nenhuma melhoria.
SUNFLOWERNODAMAGE_TITLE,What We're After,,,
SUNFLOWERNODAMAGE_DISC,Defeated Optic Sunflower without taking damage.,Derrotou Optic Sunflower sem tomar dano.,Derrotaste a Optic Sunflower sin recibir daño.,Derrotou Optic Sunflower sem tomar dano.
SURFEDONMISSILE_TITLE,Bomb Rush Cyberfunk,,,
SURFEDONMISSILE_DISC,Surfed through the skies for 6 seconds.,Surfou os céus por 6 segundos.,Surfeaste por los cielos durante 6 segundos.,Surfou os céus por 6 segundos.
TRILOBYTEBUSTERONLY_TITLE,The Ore We Mine,,,
TRILOBYTEBUSTERONLY_DISC,Defeated Earthrock Trilobyte without using special weapons.,Derrotou Earthrock Trilobyte sem usar armas especiais.,Derrotaste a Earthrock Trilobyte sin usar armas especiales.,Derrotou Earthrock Trilobyte sem usar armas especiais.
TRILOBYTENAKED_TITLE,Old Heaps of Junk,,,
TRILOBYTENAKED_DISC,Defeated Earthrock Trilobyte without equipping any upgrades.,Derrotou Earthrock Trilobyte sem equipar nenhuma melhoria.,Derrotaste a Earthrock Trilobyte sin equipar ninguna mejora.,Derrotou Earthrock Trilobyte sem equipar nenhuma melhoria.
TRILOBYTENODAMAGE_TITLE,Brainless Maverick Hunter,,,
TRILOBYTENODAMAGE_DISC,Defeated Earthrock Trilobyte without taking damage.,Derrotou Earthrock Trilobyte sem tomar dano.,Derrotaste a Earthrock Trilobyte sin recibir daño.,Derrotou Earthrock Trilobyte sem tomar dano.
VILEDEFEATEDTWICE_TITLE,Our Little Reunion,,,
VILEDEFEATEDTWICE_DISC,Defeated Vile twice.,Derrotou Vile duas vezes.,Derrotaste a Vile dos veces.,Derrotou Vile duas vezes.
VILEDEVILBEARDEFEATED_TITLE,Steel Assault,,,
VILEDEVILBEARDEFEATED_DISC,Defeated Devil Bear before finishing the battle.,Derrotou Devil Bear antes de terminar a luta.,Derrotaste a Devil Bear antes de terminar la batalla.,Derrotou Devil Bear antes de terminar a luta.
VILEJAKOBBUSTERONLY_TITLE,Piecing it Together,,,
VILEJAKOBBUSTERONLY_DISC,Defeated Vile without using special weapons.,Derrotou Vile sem usar armas especiais.,Derrotaste a Vile sin usar armas especiales.,Derrotou Vile sem usar armas especiais.
VILEJAKOBDEFEATED_TITLE,The Route To Space,,,
VILEJAKOBDEFEATED_DISC,Defeated Vile at the top of the Orbital Elevator.,Derrotou Vile no topo do Elevador Orbital.,Derrotaste a Vile en la cima del Elevador Orbital.,Derrotou Vile no topo do Elevador Orbital.
VILEJAKOBNAKED_TITLE,For a World that's Doomed,,,
VILEJAKOBNAKED_DISC,Defeated Vile without equipping any upgrades.,Derrotou Vile sem equipar nenhuma melhoria.,Derrotaste a Vile sin equipar ninguna mejora.,Derrotou Vile sem equipar nenhuma melhoria.
VILEJAKOBNODAMAGE_TITLE,At Times Like This,,,
VILEJAKOBNODAMAGE_DISC,Defeated Vile without taking damage.,Derrotou Vile sem tomar dano.,Derrotaste a Vile sin recibir daño.,Derrotou Vile sem tomar dano.
VILESIGMADEFEATED_TITLE,Hope Remains,,,
VILESIGMADEFEATED_DISC,Defeated Vile at Sigma Palace.,Derrotou Vile no Palácio de Sigma.,Derrotaste a Vile en el Palacio de Sigma.,Derrotou Vile no Palácio de Sigma.
XDRIVEDODGE_TITLE,Mark of the Ninja,,,
XDRIVEDODGE_DISC,Used XDrive during a Desperation Attack.,Usou o XDrive durante um Ataque Desespero.,Usaste XDrive durante un Ataque de Desesperación.,Usou o XDrive durante um Ataque Desespero.
YETIBUSTERONLY_TITLE,It's Too Late,,,
YETIBUSTERONLY_DISC,Defeated Avalanche Yeti without using special weapons.,Derrotou Avalanche Yeti sem usar armas especiais.,Derrotaste a Avalanche Yeti sin usar armas especiales.,Derrotou Avalanche Yeti sem usar armas especiais.
YETIDOOREXPLODED_TITLE,Sonic Drive,,,
YETIDOOREXPLODED_DISC,Broke your way through Central White.,Destruiu a primeira porta na Central Alva.,Abriste camino a través de Central Alba.,Destruiu a primeira porta na Central Alva.
YETINAKED_TITLE,You Old Model Reploids,,,
YETINAKED_DISC,Defeated Avalanche Yeti without equipping any upgrades.,Derrotou Avalanche Yeti sem equipar nenhuma melhoria.,Derrotaste a Avalanche Yeti sin equipar ninguna mejora.,Derrotou Avalanche Yeti sem equipar nenhuma melhoria.
YETINODAMAGE_TITLE,Puny Maverick Hunter,,,
YETINODAMAGE_DISC,Defeated Avalanche Yeti without taking damage.,Derrotou Avalanche Yeti sem tomar dano.,Derrotaste a Avalanche Yeti sin recibir daño.,Derrotou Avalanche Yeti sem tomar dano.
MANTISUNDETECTED_TITLE,Shadow Tactics,,,
MANTISUNDETECTED_DISC,Avoided all Seachlights in Pitch Black.,Não foi detectado pelas luzes em Arsenal Soturno.,Evitar todas las luces de búsqueda en Oscuridad Total.,Não foi detectado pelas luzes em Arsenal Soturno.
SECRET1DEFEATED_TITLE,Corridors of Time,,,
SECRET1DEFEATED_DISC,Defeated the Secret Boss.,Derrotou o Boss Secreto.,Derrotaste al Jefe Secreto.,Derrotou o Boss Secreto.
SECRET3DEFEATED_TITLE,Dual Destinies,,,
SECRET3DEFEATED_DISC,Defeated Secret Boss #3.,Derrotou o Boss Secreto #3.,Derrotaste al Jefe Secreto #3.,Derrotou o Boss Secreto #3.
,,,,
,,,,
SECRET3-1,"Finally, it's mine. This file contains data on all currently wanted criminals...",Finalmente consegui. Esses dados contém informações de inúmeros criminosos...,"Finalmente, lo he adquirido. Estos datos contienen información sobre todos los criminales actualmente buscados...",Finalmente consegui. Esses dados contém informações de inúmeros criminosos...
SECRET3-2,"How high do I rank in that thing?","Você, Aparado aí. Esta área é de acesso exclusivo dos Caçadores. Entregue-se agora!","Tú, detente. ¡Esta área está restringida para Cazadores de Clase S, al igual que esos datos! ¡Entrégalos y no te resistas!","Você, parado aí. Esta área é de acesso exclusivo dos Caçadores. Entregue-se agora!"
SECRET3-3,"Speak of the devil. You're at the very top, Vile.","Sei o que isso parece, mas não se esquente, X.","Sé cómo se ve esto, pero no te preocupes, X.","Sei o que isso parece, mas não se esquente, X."
SECRET3-4,"The name's Red. I heard X and Zero are out of play, so I'm lightening the Hunters' load.",Meu nome é Red. Fiquei sabendo que as coisas andam meio complicadas pra vocês e decidi... Ajudar.,"Mi nombre es Red. Me he enterado de que has tenido dificultades con los recientes acontecimientos, así que decidí... ayudarte.",Meu nome é Red. Fiquei sabendo que as coisas andam meio complicadas pra vocês e decidi... Ajudar.
SECRET3-5,"With this data, me and my pals will have plenty of work to do... And money to make.","Com estes dados, poderemos começar a caçar Mavericks por nós mesmos... Em troca de uma grana, é claro.","Con esto, podremos comenzar nuestra propia caza de Mavericks y aligerar un poco tu carga... Por un precio, por supuesto.","Com estes dados, poderemos começar a caçar Mavericks por nós mesmos... Em troca de uma grana, é claro."
SECRET3-6,"People are so scared of me they'll pay just to see me go, huh?",Você não passa de um caçador de recompensas.,Suena más como si fueras un sucio cazador de recompensas.,Você não passa de um caçador de recompensas.
SECRET3-7,"Sure will. And this saves me the trouble of tracking you down later... Let's go!","Pense o que quiser, eu não vou recuar agora. Prepare-se!",Eres libre de pensar lo que quieras. No me voy a echar atrás... ¡Prepárate!,"Pense o que quiser, eu não vou recuar agora. Prepare-se!"
,,,,
SECRET3-8,"You ain't... seen the last of me...",Nada mau... Para um velhote...,No está mal... \nPara un anciano...,X7 demake... É o caralho...  
